Significance Analysis of Microarrays by gene																			
Gene Name	Differentiated			Immunoreactive			Mesenchymal			Proliferative			Chromosome name	Band	Description				
AANAT	2,3717	1,0831	1,216	2,6686	1,0896	0,1301	-2,4906	0,9263	0,4599	-2,1295	0,9389	0,6935	17	q25.1	"Serotonin N-acetyltransferase (EC 2.3.1.87) (Aralkylamine N- acetyltransferase) (AA-NAT) (Serotonin acetylase). [Source:Uniprot/SWISSPROT;Acc:Q16613]"				
AARS	-2,9031	0,8615	0,066	2,4115	1,1261	0,3348	-1,1048	0,949	6,1022	1,3839	1,0647	4,3519	16	q22.1	"Alanyl-tRNA synthetase, cytoplasmic (EC 6.1.1.7) (Alanine--tRNA ligase) (AlaRS) (Renal carcinoma antigen NY-REN-42). [Source:Uniprot/SWISSPROT;Acc:P49588]"				
AARSD1	-0,9808	0,9608	11,2803	-0,2113	0,9917	35,6069	-0,3006	0,9888	21,5379	1,3436	1,049	4,3519	17	q21.31	"Alanyl-tRNA synthetase domain-containing protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9BTE6]"				
AASDHPPT	-0,637	0,968	19,2003	-0,8228	0,9607	20,4598	0,9646	1,0457	14,6237	0,3874	1,0174	21,0108	11	q22.3	"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.-) (4'-phosphopantetheinyl transferase) (Alpha- aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog). [Source:Uniprot/SWISSPROT;Acc:Q9NRN7]"				
AASS	-3,4373	0,7987	0	-3,024	0,8271	0,1301	3,158	1,2079	0,0249	2,7409	1,171	0,1052	7	q31.32	"Alpha-aminoadipic semialdehyde synthase, mitochondrial precursor (LKR/SDH) [Includes: Lysine ketoglutarate reductase (EC 1.5.1.8) (LOR) (LKR); Saccharopine dehydrogenase (EC 1.5.1.9) (SDH)]. [Source:Uniprot/SWISSPROT;Acc:Q9UDR5]"				
AATF	-0,9058	0,9553	13,9168	-0,7158	0,966	24,1232	-1,8855	0,9171	1,3817	3,296	1,1544	0,0073	17	q12	"Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1). [Source:Uniprot/SWISSPROT;Acc:Q9NY61]"				
AATK	1,1127	1,0528	11,2803	-1,6589	0,9293	6,6672	-2,4389	0,9027	0,4599	2,8933	1,1231	0,0325	17	q25.3	"Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Lemur tyrosine kinase 1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (p35- binding protein) (p35BP). [Source:Uniprot/SWISSPROT;Acc:Q6ZMQ8]"				
ABAT	-0,9409	0,9278	11,2803	0,5281	1,041	24,1232	-4,0869	0,7475	0	4,2752	1,3384	0	16	p13.2	"4-aminobutyrate aminotransferase, mitochondrial precursor (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA aminotransferase) (GABA-AT) (GABA-T) (L-AIBAT). [Source:Uniprot/SWISSPROT;Acc:P80404]"				
ABBA-1	2,1989	1,0859	1,216	-2,5914	0,9115	0,7301	-1,4586	0,9511	3,2152	1,841	1,0624	1,4298	0	0	0				
ABCA1	-2,7458	0,8357	0,066	2,0846	1,1398	1,4462	7,6546	1,535	0	-6,7116	0,6931	0	9	q31.1	"ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ATP-binding cassette 1) (ABC-1) (Cholesterol efflux regulatory protein). [Source:Uniprot/SWISSPROT;Acc:O95477]"				
ABCA12	1,9242	1,0784	3,2175	-0,7853	0,9708	20,4598	-0,2013	0,9927	21,5379	-0,7658	0,9738	15,204	2	q35	"ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12). [Source:Uniprot/SWISSPROT;Acc:Q86UK0]"				
ABCA2	2,3062	1,1266	1,216	-4,5308	0,8028	0	-0,2558	0,9879	21,5379	2,2935	1,1095	0,2958	9	q34.3	"ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2). [Source:Uniprot/SWISSPROT;Acc:Q9BZC7]"				
ABCA3	2,0132	1,1212	2,0642	-0,2894	0,9842	33,3649	-2,8859	0,8616	0,1264	1,2496	1,0644	6,6307	16	p13.3	"ATP-binding cassette sub-family A member 3 (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (ABC-C transporter). [Source:Uniprot/SWISSPROT;Acc:Q99758]"				
ABCA4	1,721	1,1235	4,8218	-0,5635	0,964	27,6634	-0,95	0,9428	9,6877	-0,0759	0,9954	26,223	1	p22.1	"Retinal-specific ATP-binding cassette transporter (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Stargardt disease protein). [Source:Uniprot/SWISSPROT;Acc:P78363]"				
ABCA5	1,2503	1,0844	8,9075	0,2156	1,0134	33,3649	0,8041	1,0487	16,0569	-2,0733	0,8893	0,6935	17	q24.3	"ATP-binding cassette sub-family A member 5. [Source:Uniprot/SWISSPROT;Acc:Q8WWZ7]"				
ABCA6	-3,7335	0,794	0	-2,0987	0,8819	2,5859	10,9766	1,728	0	-4,0991	0,8016	0	17	q24.3	"ATP-binding cassette sub-family A member 6. [Source:Uniprot/SWISSPROT;Acc:Q8N139]"				
ABCA7	4,2787	1,2481	0	1,6247	1,0857	4,2891	0,6613	1,0325	17,6043	-6,0617	0,7643	0	19	p13.3	"ATP-binding cassette sub-family A member 7 (Macrophage ABC transporter) (Autoantigen SS-N) (ABCA-SSN). [Source:Uniprot/SWISSPROT;Acc:Q8IZY2]"				
ABCA8	-2,4164	0,8186	0,3398	-3,671	0,7498	0,0187	7,8217	1,7379	0	-1,5586	0,8926	4,3519	17	q24.2	"ATP-binding cassette sub-family A member 8. [Source:Uniprot/SWISSPROT;Acc:O94911]"				
ABCB1	-1,0437	0,9562	11,2803	2,7356	1,1175	0,1301	2,0651	1,0837	1,3817	-3,5998	0,8755	0	7	q21.12	"Multidrug resistance protein 1 (EC 3.6.3.44) (ATP-binding cassette sub-family B member 1) (P-glycoprotein 1) (CD243 antigen). [Source:Uniprot/SWISSPROT;Acc:P08183]"				
ABCB11	1,0659	1,028	13,9168	2,3967	1,0608	0,3348	-1,8917	0,9564	1,3817	-1,3098	0,9707	6,6307	2	q31.1	"Bile salt export pump (ATP-binding cassette sub-family B member 11). [Source:Uniprot/SWISSPROT;Acc:O95342]"				
ABCB4	-2,336	0,9284	0,3398	1,7689	1,0554	2,5859	4,6073	1,1393	0	-3,9536	0,8973	0	7	q21.12	"Multidrug resistance protein 3 (EC 3.6.3.44) (ATP-binding cassette sub-family B member 4) (P-glycoprotein 3). [Source:Uniprot/SWISSPROT;Acc:P21439]"				
ABCB6	0,983	1,0417	13,9168	-2,3992	0,9095	0,7301	-2,1385	0,9224	0,4599	3,4127	1,1303	0,0073	2	q35	"Mitochondrial ATP-binding cassette sub-family B member 6 (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (Ubiquitously-expressed mammalian ABC half transporter) (P- glycoprotein-related protein). [Source:Uniprot/SWISSPROT;Acc:Q9NP58]"				
ABCB7	1,489	1,0727	6,6377	2,0767	1,0979	1,4462	-0,4066	0,9825	21,5379	-2,8338	0,8902	0,1052	X	q13.3	"ATP-binding cassette sub-family B member 7, mitochondrial precursor (ATP-binding cassette transporter 7) (ABC transporter 7 protein). [Source:Uniprot/SWISSPROT;Acc:O75027]"				
ABCB8	1,7288	1,0566	4,8218	0,353	1,0108	30,6701	-2,6289	0,9267	0,1264	0,6625	1,0187	15,204	7	q36.1	"ATP-binding cassette sub-family B member 8, mitochondrial precursor (Mitochondrial ATP-binding cassette 1) (M-ABC1). [Source:Uniprot/SWISSPROT;Acc:Q9NUT2]"				
ABCB9	1,761	1,0565	3,2175	2,0287	1,0623	1,4462	-2,7378	0,9254	0,1264	-0,7896	0,9785	15,204	12	q24.31	"ATP-binding cassette sub-family B member 9 precursor (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (TAP-like protein) (TAPL) (hABCB9). [Source:Uniprot/SWISSPROT;Acc:Q9NP78]"				
ABCC1	-1,2265	0,9379	6,6377	-2,6317	0,8777	0,3348	0,5939	1,0287	17,6043	2,9258	1,1417	0,0325	16	p13.11	"Multidrug resistance-associated protein 1 (ATP-binding cassette sub- family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter). [Source:Uniprot/SWISSPROT;Acc:P33527]"				
ABCC10	-0,1178	0,9948	31,3022	0,341	1,0143	30,6701	-2,0861	0,9208	1,3817	1,7865	1,0702	1,4298	6	p21.1	"Multidrug resistance-associated protein 7 (ATP-binding cassette sub- family C member 10). [Source:Uniprot/SWISSPROT;Acc:Q5T3U5]"				
ABCC2	3,6305	1,2381	0,0315	-0,2855	0,9837	33,3649	-3,5433	0,8266	0,0249	0,4772	1,0253	18,2234	10	q24.2	"Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Multidrug resistance-associated protein 2) (Canalicular multidrug resistance protein). [Source:Uniprot/SWISSPROT;Acc:Q92887]"				
ABCC3	1,6326	1,1274	4,8218	1,6329	1,1216	4,2891	4,0597	1,3067	0	-7,1743	0,6474	0	17	q21.33	"Canalicular multispecific organic anion transporter 2 (ATP-binding cassette sub-family C member 3) (Multidrug resistance-associated protein 3) (Multi-specific organic anion transporter-D) (MOAT-D). [Source:Uniprot/SWISSPROT;Acc:O15438]"				
ABCC4	1,7663	1,1672	3,2175	1,5426	1,138	4,2891	-2,3862	0,8268	0,4599	-0,679	0,949	18,2234	13	q32.1	"Multidrug resistance-associated protein 4 (ATP-binding cassette sub- family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter-B) (MOAT-B). [Source:Uniprot/SWISSPROT;Acc:O15439]"				
ABCC5	-1,9837	0,9032	1,216	-1,9195	0,91	2,5859	0,9779	1,047	14,6237	2,5653	1,1217	0,2958	3	q27.1	"Multidrug resistance-associated protein 5 (ATP-binding cassette sub- family C member 5) (Multi-specific organic anion transporter-C) (MOAT- C) (pABC11) (SMRP). [Source:Uniprot/SWISSPROT;Acc:O15440]"				
ABCC6	0,0841	1,0034	32,8456	-0,5855	0,9771	27,6634	-2,578	0,9082	0,4599	2,9468	1,111	0,0325	16	p13.11	"Multidrug resistance-associated protein 6 (ATP-binding cassette sub- family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter-E) (MOAT-E). [Source:Uniprot/SWISSPROT;Acc:O95255]"				
ABCC8	2,4158	1,0746	0,6697	-0,7667	0,9782	20,4598	-2,4596	0,9353	0,4599	0,9406	1,025	9,2746	11	p15.1	"ATP-binding cassette transporter sub-family C member 8 (Sulfonylurea receptor 1). [Source:Uniprot/SWISSPROT;Acc:Q09428]"				
ABCC9	-2,7928	0,7748	0,066	-2,7808	0,7842	0,3348	7,9519	1,8596	0	-2,1313	0,8425	0,6935	12	p12.1	"ATP-binding cassette transporter sub-family C member 9 (Sulfonylurea receptor 2). [Source:Uniprot/SWISSPROT;Acc:O60706]"				
ABCD1	2,1128	1,0902	2,0642	1,5784	1,0638	4,2891	0,3609	1,0136	20,8619	-3,6974	0,8774	0	X	q28	"ATP-binding cassette sub-family D member 1 (Adrenoleukodystrophy protein) (ALDP). [Source:Uniprot/SWISSPROT;Acc:P33897]"				
ABCD2	-1,6744	0,937	3,2175	5,6685	1,224	0	1,6325	1,0595	6,1022	-5,2646	0,8411	0	12	q12	"ATP-binding cassette sub-family D member 2 (Adrenoleukodystrophy- related protein) (hALDR) (Adrenoleukodystrophy-like 1). [Source:Uniprot/SWISSPROT;Acc:Q9UBJ2]"				
ABCD3	-0,6272	0,9658	19,2003	0,7937	1,0429	16,7477	0,2727	1,0138	21,5379	-0,4388	0,9789	22,8783	1	p21.3	"ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70). [Source:Uniprot/SWISSPROT;Acc:P28288]"				
ABCD4	-1,4186	0,95	4,8218	-1,575	0,9471	6,6672	0,3291	1,0109	20,8619	2,3816	1,0777	0,2958	14	q24.3	"ATP-binding cassette sub-family D member 4 (Peroxisomal membrane protein 69) (PMP69) (Peroxisomal membrane protein 1-like) (PXMP1-L) (P70R). [Source:Uniprot/SWISSPROT;Acc:O14678]"				
ABCE1	-2,3285	0,8834	0,3398	4,1221	1,2294	0	0,5056	1,025	18,9683	-2,1643	0,9039	0,6935	4	q31.22	"ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I) (2'-5'-oligoadenylate-binding protein) (HuHP68). [Source:Uniprot/SWISSPROT;Acc:P61221]"				
ABCF1	-1,9709	0,9049	1,216	1,45	1,073	6,6672	-1,9121	0,9153	1,3817	2,2324	1,104	0,6935	6	p21.33	"ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein). [Source:Uniprot/SWISSPROT;Acc:Q8NE71]"				
ABCF2	0,6207	1,0277	21,7605	0,7839	1,0336	16,7477	-1,9984	0,923	1,3817	0,6442	1,0252	15,204	7	q36.1	"ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2). [Source:Uniprot/SWISSPROT;Acc:Q9UG63]"				
ABCF3	1,1897	1,0537	11,2803	-0,7279	0,9697	24,1232	-1,1998	0,9529	6,1022	0,7746	1,0303	12,1755	3	q27.1	"ATP-binding cassette sub-family F member 3. [Source:Uniprot/SWISSPROT;Acc:Q9NUQ8]"				
ABCG1	1,6839	1,1043	4,8218	2,9076	1,1766	0,1301	1,8265	1,1031	3,2152	-6,1413	0,7385	0	21	q22.3	"ATP-binding cassette sub-family G member 1 (White protein homolog) (ATP-binding cassette transporter 8). [Source:Uniprot/SWISSPROT;Acc:P45844]"				
ABCG2	1,387	1,0758	6,6377	1,2744	1,0663	9,5943	-4,5848	0,8065	0	1,9056	1,0917	1,4298	4	q22.1	"ATP-binding cassette sub-family G member 2 (Placenta-specific ATP- binding cassette transporter) (Breast cancer resistance protein) (Mitoxantrone resistance-associated protein) (CD338 antigen) (CDw338). [Source:Uniprot/SWISSPROT;Acc:Q9UNQ0]"				
ABCG4	2,063	1,0788	2,0642	-1,8972	0,9353	2,5859	-1,662	0,9456	3,2152	1,5247	1,0505	2,6217	11	q23.3	"ATP-binding cassette sub-family G member 4. [Source:Uniprot/SWISSPROT;Acc:Q9H172]"				
ABCG5	3,2685	1,2248	0,066	-0,7409	0,9563	24,1232	-6,8028	0,6918	0	4,0934	1,247	0	2	p21	"ATP-binding cassette sub-family G member 5 (Sterolin-1). [Source:Uniprot/SWISSPROT;Acc:Q9H222]"				
ABHD10	-2,6311	0,8719	0,1677	1,7506	1,0915	2,5859	-1,3307	0,9383	3,2152	1,9698	1,0944	1,4298	3	q13.2	"Abhydrolase domain-containing protein 10, mitochondrial precursor (EC 3.4.-.-). [Source:Uniprot/SWISSPROT;Acc:Q9NUJ1]"				
ABHD11	5,8814	1,4475	0	1,0908	1,0709	13,0283	-0,9429	0,945	9,6877	-5,2034	0,7487	0	7	q11.23	"Abhydrolase domain-containing protein 11 (EC 3.-.-.-) (Williams-Beuren syndrome chromosomal region 21 protein). [Source:Uniprot/SWISSPROT;Acc:Q8NFV4]"				
ABHD14A	3,3875	1,2062	0,066	-2,0788	0,8948	2,5859	-3,8986	0,8219	0	2,6589	1,1385	0,1052	3	p21.1	"Abhydrolase domain-containing protein 14A (EC 3.-.-.-). [Source:Uniprot/SWISSPROT;Acc:Q9BUJ0]"				
ABHD2	0,1967	1,0069	31,3022	-2,5649	0,9178	0,7301	5,9135	1,1984	0	-3,2905	0,9048	0,0073	15	q26.1	"Abhydrolase domain-containing protein 2 (EC 3.1.1.-) (Lung alpha/beta hydrolase 2) (Protein PHPS1-2). [Source:Uniprot/SWISSPROT;Acc:P08910]"				
ABHD3	0,366	1,0312	28,1676	5,9918	1,5847	0	0,6168	1,0484	17,6043	-6,4919	0,6353	0	18	q11.2	"Abhydrolase domain-containing protein 3 (EC 3.1.1.-) (Lung alpha/beta hydrolase 3). [Source:Uniprot/SWISSPROT;Acc:Q8WU67]"				
ABHD4	-1,6685	0,9207	3,2175	-0,5569	0,9738	27,6634	0,8345	1,0385	16,0569	1,1692	1,052	6,6307	14	q11.2	"Abhydrolase domain-containing protein 4 (EC 3.1.1.-) (Lyso-N- acylphosphatidylethanolamine lipase) (Alpha/beta-hydrolase 4). [Source:Uniprot/SWISSPROT;Acc:Q8TB40]"				
ABHD5	1,4786	1,0785	6,6377	2,5606	1,1325	0,3348	0,0087	1,0004	21,5379	-3,6932	0,8496	0	3	p21.33	"Abhydrolase domain-containing protein 5. [Source:Uniprot/SWISSPROT;Acc:Q8WTS1]"				
ABHD6	1,4298	1,0677	6,6377	-0,3827	0,9833	30,6701	0,0843	1,0035	21,5379	-0,9809	0,9613	12,1755	3	p14.3	"Abhydrolase domain-containing protein 6 (EC 3.-.-.-). [Source:Uniprot/SWISSPROT;Acc:Q9BV23]"				
ABHD8	-2,7223	0,8813	0,1677	-0,8694	0,9618	20,4598	-2,9835	0,8816	0,1264	6,3096	1,2783	0	19	p13.11	"Abhydrolase domain-containing protein 8 (EC 3.-.-.-). [Source:Uniprot/SWISSPROT;Acc:Q96I13]"				
ABHD9	0,1768	1,0176	32,0584	1,7783	1,1822	2,5859	-1,2203	0,8959	6,1022	-0,6097	0,9486	18,2234	19	p13.12	"Abhydrolase domain-containing protein 9 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9H6B9]"				
ABI1	-1,6944	0,9219	3,2175	4,9898	1,2489	0	0,3059	1,0135	21,3499	-3,2828	0,8724	0,0073	0	0	0				
ABI2	-0,5546	0,9713	21,7605	-1,8149	0,9132	4,2891	-2,7416	0,878	0,1264	4,8982	1,2437	0	2	q33.2	"Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1). [Source:Uniprot/SWISSPROT;Acc:Q9NYB9]"				
ABL1	-3,9431	0,8112	0	-4,8707	0,783	0	4,4285	1,2377	0	3,6352	1,1846	0	9	q34.12	"Proto-oncogene tyrosine-protein kinase ABL1 (EC 2.7.10.2) (p150) (c- ABL) (Abelson murine leukemia viral oncogene homolog 1). [Source:Uniprot/SWISSPROT;Acc:P00519]"				
ABL2	-1,1842	0,954	8,9075	-2,0253	0,9262	2,5859	5,3641	1,2057	0	-2,0721	0,9307	0,6935	1	q25.2	"Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine kinase ARG). [Source:Uniprot/SWISSPROT;Acc:P42684]"				
ABLIM1	1,7441	1,1286	3,2175	-5,4515	0,705	0	1,3096	1,0866	9,6877	2,0429	1,1319	0,6935	10	q25.3	"Actin-binding LIM protein 1 (Actin-binding LIM protein family member 1) (abLIM-1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin). [Source:Uniprot/SWISSPROT;Acc:O14639]"				
ABLIM3	0,5435	1,021	24,09	-0,2268	0,9917	35,6069	4,6544	1,171	0	-4,744	0,8569	0	5	q33.1	"Actin-binding LIM protein 3 (Actin-binding LIM protein family member 3) (abLIM-3). [Source:Uniprot/SWISSPROT;Acc:O94929]"				
ABO	4,1981	1,1824	0	-1,2527	0,9522	13,0283	-2,2223	0,9209	0,4599	-0,3278	0,9883	23,8828	9	q34.2	"Histo-blood group ABO system transferase (NAGAT) [Includes: Glycoprotein-fucosylgalactoside alpha-N- acetylgalactosaminyltransferase (EC 2.4.1.40) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Histo-blood group A transferase) (A transfera [Source:Uniprot/SWISSPROT;Acc:P16442]"				
ABP1	1,24	1,1497	8,9075	-1,9315	0,8127	2,5859	1,203	1,1315	13,23	-0,4752	0,9541	21,0108	7	q36.1	"Amiloride-sensitive amine oxidase [copper-containing] precursor (EC 1.4.3.6) (Diamine oxidase) (DAO) (Amiloride-binding protein) (ABP) (Histaminase) (Kidney amine oxidase) (KAO). [Source:Uniprot/SWISSPROT;Acc:P19801]"				
ABR	-0,8607	0,9568	13,9168	-0,3059	0,9851	33,3649	4,9364	1,2503	0	-3,6103	0,8527	0	17	p13.3	"Active breakpoint cluster region-related protein. [Source:Uniprot/SWISSPROT;Acc:Q12979]"				
ABT1	-1,8992	0,905	2,0642	1,8191	1,0957	2,5859	-2,8629	0,8724	0,1264	2,7391	1,1336	0,1052	6	p22.1	"Activator of basal transcription 1 (hABT1) (Basal transcriptional activator). [Source:Uniprot/SWISSPROT;Acc:Q9ULW3]"				
ABTB2	-1,2974	0,9255	6,6377	-5,575	0,7362	0	-1,1719	0,9381	6,1022	7,7218	1,4551	0	11	p13	"Ankyrin repeat and BTB/POZ domain-containing protein 2. [Source:Uniprot/SWISSPROT;Acc:Q8N961]"				
ACAA1	4,5192	1,2174	0	0,8348	1,0363	16,7477	0,117	1,0047	21,5379	-4,8838	0,8307	0	3	p22.2	"3-ketoacyl-CoA thiolase, peroxisomal precursor (EC 2.3.1.16) (Beta- ketothiolase) (Acetyl-CoA acyltransferase) (Peroxisomal 3-oxoacyl-CoA thiolase). [Source:Uniprot/SWISSPROT;Acc:P09110]"				
ACAA2	-5,5904	0,6866	0	0,4266	1,0289	27,6634	0,7209	1,0471	16,0569	3,689	1,2489	0	18	q21.1	"3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Beta- ketothiolase) (Acetyl-CoA acyltransferase) (Mitochondrial 3-oxoacyl- CoA thiolase) (T1). [Source:Uniprot/SWISSPROT;Acc:P42765]"				
ACACA	-0,8299	0,9595	13,9168	0,2148	1,0102	33,3649	-0,0803	0,9963	21,5379	0,607	1,0267	15,204	17	q12	"Acetyl-CoA carboxylase 1 (EC 6.4.1.2) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)]. [Source:Uniprot/SWISSPROT;Acc:Q13085]"				
ACACB	-0,8241	0,9648	13,9168	-2,4523	0,9038	0,7301	-0,525	0,9794	21,5379	3,5129	1,1404	0,0073	12	q24.11	"Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]. [Source:Uniprot/SWISSPROT;Acc:O00763]"				
ACAD10	2,978	1,1175	0,1677	-2,3507	0,9191	1,4462	-3,9934	0,874	0	3,3562	1,1155	0,0073	12	q24.12	"Acyl-CoA dehydrogenase family member 10 (ACAD-10). [Source:Uniprot/SWISSPROT;Acc:Q6JQN1]"				
ACAD8	1,399	1,082	6,6377	0,878	1,0485	16,7477	-3,2275	0,8485	0,0249	1,0266	1,052	9,2746	11	q25	"Isobutyryl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8) (Activator-recruited cofactor 42 kDa component) (ARC42). [Source:Uniprot/SWISSPROT;Acc:Q9UKU7]"				
ACADL	0,7386	1,0426	19,2003	-0,5667	0,9697	27,6634	-0,0676	0,9965	21,5379	-0,0628	0,9968	26,223	2	q34	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.13) (LCAD). [Source:Uniprot/SWISSPROT;Acc:P28330]"				
ACADM	-0,8463	0,9494	13,9168	3,461	1,221	0,0187	-2,16	0,8868	0,4599	-0,3215	0,9828	23,8828	1	p31.1	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.3) (MCAD). [Source:Uniprot/SWISSPROT;Acc:P11310]"				
ACADS	3,1022	1,1322	0,1677	3,4909	1,1425	0	-3,18	0,8903	0,0249	-2,853	0,9045	0,1052	12	q24.31	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.2) (SCAD) (Butyryl-CoA dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:P16219]"				
ACADSB	2,1662	1,1192	2,0642	1,2021	1,0619	9,5943	-0,4966	0,9765	21,5379	-2,5312	0,8912	0,2958	10	q26.13	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.-) (SBCAD) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:P45954]"				
ACADVL	0,5751	1,0371	24,09	0,9674	1,0603	13,0283	-0,063	0,9963	21,5379	-1,3317	0,9288	6,6307	17	p13.1	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.-) (VLCAD). [Source:Uniprot/SWISSPROT;Acc:P49748]"				
